"2,8,24789150,59442730,,285,1117,Z,114,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24688040,59429710,,266,1158,Z,130,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24744030,59442040,,52,1169,Z,35,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24749350,59443980,,276,1235,Z,156,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24728860,59436420,,258,1265,Z,90,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24836470,59472740,,198,1302,Z,50,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24890770,59481310,,74,1351,Z,175,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24833860,59467470,,18,1355,Z,19,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24701570,59429160,,91,1442,Z,169,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24634700,59412340,,168,1496,Z,98,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24799800,59445920,,38,1516,Z,145,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24644820,59420360,,267,1560,Z,59,أ„igrumأ¤e 07:53:20 15.05.25"
"2,8,24635350,59411890,,118,3389,Z,74,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24872030,59488680,,240,3575,Z,4,Vأ¤ike-أ•ismأ¤e 07:53:20 15.05.25"
"2,8,24788630,59442830,,285,1117,Z,114,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24682450,59429210,,258,1158,Z,130,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24747390,59442470,,60,1169,Z,35,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24746040,59444290,,279,1235,Z,156,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24728260,59436220,,258,1265,Z,90,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24834950,59470290,,194,1302,Z,50,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24890770,59481310,,74,1351,Z,175,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24834980,59469690,,13,1355,Z,19,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24704120,59429160,,89,1442,Z,169,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24634700,59412340,,168,1496,Z,98,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24800080,59446100,,37,1516,Z,145,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24644470,59420550,,310,1560,Z,59,أ„igrumأ¤e 07:53:36 15.05.25"
"2,8,24635350,59411890,,118,3389,Z,74,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24870730,59488330,,241,3575,Z,4,Vأ¤ike-أ•ismأ¤e 07:53:36 15.05.25"
"2,8,24788080,59442920,,289,1117,Z,114,Vأ¤ike-أ•ismأ¤e 07:53:52 15.05.25"
"2,8,24680060,59428940,,257,1158,Z,130,Vأ¤ike-أ•ismأ¤e 07:53:52 15.05.25"
"2,8,24748330,59442710,,63,1169,Z,35,أ„igrumأ¤e 07:53:52 15.05.25"
"2,8,24744670,59444440,,282,1235,Z,156,Vأ¤ike-أ•ismأ¤e 07:53:52 15.05.25"
"2,8,24727860,59436070,,235,1265,Z,90,Vأ¤ike-أ•ismأ¤e 07:53:52 15.05.25"
"2,8,24834920,59470220,,194,1302,Z,50,Vأ¤ike-أ•ismأ¤e 07:53:52 15.05.25"
